player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Massadio Haïdara,2015-2016,Newcastle Utd,7,6,555,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brede Hangeland,2015-2016,Crystal Palace,7,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Hart,2015-2016,Manchester City,35,35,3109,34.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakob Haugaard,2015-2016,Stoke City,5,4,405,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eden Hazard,2015-2016,Chelsea,31,25,2191,24.3,4,3,7,4,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.16,0.12,0.29,0.16,0.29,0.0,0.0,0.0,0.0,0.0
Jordan Henderson,2015-2016,Liverpool,17,15,1290,14.3,2,3,5,2,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.14,0.21,0.35,0.14,0.35,0.0,0.0,0.0,0.0,0.0
Wayne Hennessey,2015-2016,Crystal Palace,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rushian Hepburn-Murphy,2015-2016,Aston Villa,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Hernández,2015-2016,Manchester Utd,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander Herrera,2015-2016,Manchester Utd,27,17,1532,17.0,3,2,5,2,1,1,4,0,0.0,0.0,0.0,0.0,0,0,0.18,0.12,0.29,0.12,0.23,0.0,0.0,0.0,0.0,0.0
Son Heung-min,2015-2016,Tottenham,28,13,1107,12.3,4,1,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.33,0.08,0.41,0.33,0.41,0.0,0.0,0.0,0.0,0.0
Tony Hibbert,2015-2016,Everton,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Holebas,2015-2016,Watford,11,11,945,10.5,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
George Honeyman,2015-2016,Sunderland,1,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Hoolahan,2015-2016,Norwich City,30,25,1991,22.1,4,8,12,3,1,1,1,0,0.0,0.0,0.0,0.0,0,0,0.18,0.36,0.54,0.14,0.5,0.0,0.0,0.0,0.0,0.0
Gary Hooper,2015-2016,Norwich City,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Howard,2015-2016,Everton,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Howson,2015-2016,Norwich City,36,33,2951,32.8,3,4,7,3,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.09,0.12,0.21,0.09,0.21,0.0,0.0,0.0,0.0,0.0
Robert Huth,2015-2016,Leicester City,35,35,3150,35.0,3,0,3,3,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0
Alan Hutton,2015-2016,Aston Villa,28,26,2331,25.9,0,1,1,0,0,0,7,1,0.0,0.0,0.0,0.0,0,0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Víctor Ibarbo,2015-2016,Watford,4,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordon Ibe,2015-2016,Liverpool,27,12,1178,13.1,1,2,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.08,0.15,0.23,0.08,0.23,0.0,0.0,0.0,0.0,0.0
Odion Ighalo,2015-2016,Watford,37,36,3146,35.0,15,3,18,15,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.43,0.09,0.51,0.43,0.51,0.0,0.0,0.0,0.0,0.0
Kelechi Iheanacho,2015-2016,Manchester City,26,7,766,8.5,8,1,9,8,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.94,0.12,1.06,0.94,1.06,0.0,0.0,0.0,0.0,0.0
Giannelli Imbula,2015-2016,Stoke City,14,14,1260,14.0,2,0,2,2,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.14,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0
Danny Ings,2015-2016,Liverpool,6,3,340,3.8,2,0,2,2,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.53,0.0,0.53,0.53,0.53,0.0,0.0,0.0,0.0,0.0
Gökhan Inler,2015-2016,Leicester City,5,3,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Ireland,2015-2016,Stoke City,13,0,243,2.7,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.37,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.0
