player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Souleymane Diawara,2010-2011,Marseille,27,27,2385,26.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Étienne Didot,2010-2011,Toulouse,36,36,3006,33.4,2,3,5,2,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.06,0.09,0.15,0.06,0.15,0.0,0.0,0.0,0.0,0.0
Didier Digard,2010-2011,Nice,24,21,1909,21.2,0,3,3,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0
Franck Dja Djédjé,2010-2011,Arles-Avignon,34,30,2469,27.4,4,1,5,4,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.15,0.04,0.18,0.15,0.18,0.0,0.0,0.0,0.0,0.0
Eduardo dos Santos,2010-2011,Lens,32,24,2064,22.9,4,2,6,4,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.17,0.09,0.26,0.17,0.26,0.0,0.0,0.0,0.0,0.0
Mathieu Dossevi,2010-2011,Valenciennes,24,17,1522,16.9,2,0,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.12,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0
Nicolas Douchez,2010-2011,Rennes,37,37,3311,36.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheick Doukouré,2010-2011,Lorient,4,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongo Doumbia,2010-2011,Rennes,19,9,926,10.3,0,1,1,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Boukary Dramé,2010-2011,Sochaux,26,23,2161,24.0,2,2,4,2,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.08,0.08,0.17,0.08,0.17,0.0,0.0,0.0,0.0,0.0
